Iteration 0, D_loss = 1.3577,G_loss = 0.7575,train acc = 0.1131, test acc = 0.0938,best acc = 0.0938,lr = 0.00030000 
Iteration 26, D_loss = 0.9499,G_loss = 1.9550,train acc = 0.0878, test acc = 0.0799,best acc = 0.1051,lr = 0.00030000 
Iteration 27, D_loss = 0.8991,G_loss = 2.1431,train acc = 0.0943, test acc = 0.0687,best acc = 0.1051,lr = 0.00030000 
Iteration 28, D_loss = 0.9330,G_loss = 2.0251,train acc = 0.0916, test acc = 0.0724,best acc = 0.1051,lr = 0.00030000 
Iteration 29, D_loss = 0.9659,G_loss = 1.9352,train acc = 0.0755, test acc = 0.0855,best acc = 0.1051,lr = 0.00030000 
Iteration 30, D_loss = 0.9309,G_loss = 2.0495,train acc = 0.0873, test acc = 0.0801,best acc = 0.1051,lr = 0.00030000 
Iteration 31, D_loss = 0.9709,G_loss = 1.8945,train acc = 0.0905, test acc = 0.0850,best acc = 0.1051,lr = 0.00030000 
Iteration 32, D_loss = 0.9546,G_loss = 1.9365,train acc = 0.0887, test acc = 0.1002,best acc = 0.1051,lr = 0.00030000 
Iteration 33, D_loss = 0.9311,G_loss = 2.0073,train acc = 0.0826, test acc = 0.0791,best acc = 0.1051,lr = 0.00030000 
Iteration 34, D_loss = 0.9627,G_loss = 1.9100,train acc = 0.0872, test acc = 0.0780,best acc = 0.1051,lr = 0.00030000 
Iteration 35, D_loss = 0.9799,G_loss = 1.8619,train acc = 0.0860, test acc = 0.0841,best acc = 0.1051,lr = 0.00030000 
Iteration 36, D_loss = 0.9253,G_loss = 1.9661,train acc = 0.0892, test acc = 0.0803,best acc = 0.1051,lr = 0.00030000 
Iteration 37, D_loss = 0.9513,G_loss = 1.9564,train acc = 0.0859, test acc = 0.0738,best acc = 0.1051,lr = 0.00030000 
Iteration 38, D_loss = 0.9427,G_loss = 1.9427,train acc = 0.0832, test acc = 0.0793,best acc = 0.1051,lr = 0.00030000 
Iteration 39, D_loss = 0.9250,G_loss = 2.0261,train acc = 0.0904, test acc = 0.0846,best acc = 0.1051,lr = 0.00030000 
Iteration 40, D_loss = 0.9095,G_loss = 2.0395,train acc = 0.0902, test acc = 0.0809,best acc = 0.1051,lr = 0.00030000 
Iteration 41, D_loss = 0.9465,G_loss = 2.0724,train acc = 0.0906, test acc = 0.0955,best acc = 0.1051,lr = 0.00030000 
Iteration 42, D_loss = 0.9139,G_loss = 2.0059,train acc = 0.0831, test acc = 0.0958,best acc = 0.1051,lr = 0.00030000 
Iteration 43, D_loss = 0.9180,G_loss = 2.0539,train acc = 0.0856, test acc = 0.0759,best acc = 0.1051,lr = 0.00030000 
Iteration 44, D_loss = 0.9074,G_loss = 2.0936,train acc = 0.0896, test acc = 0.0915,best acc = 0.1051,lr = 0.00030000 
Iteration 45, D_loss = 0.9215,G_loss = 2.1241,train acc = 0.0893, test acc = 0.0916,best acc = 0.1051,lr = 0.00030000 
Iteration 46, D_loss = 0.9320,G_loss = 1.9979,train acc = 0.0867, test acc = 0.0870,best acc = 0.1051,lr = 0.00030000 
Iteration 47, D_loss = 0.9225,G_loss = 2.0315,train acc = 0.0872, test acc = 0.0917,best acc = 0.1051,lr = 0.00030000 
Iteration 48, D_loss = 0.9398,G_loss = 1.9878,train acc = 0.1012, test acc = 0.0968,best acc = 0.1051,lr = 0.00030000 
Iteration 49, D_loss = 0.9358,G_loss = 2.0168,train acc = 0.0912, test acc = 0.0913,best acc = 0.1051,lr = 0.00030000 
Iteration 50, D_loss = 0.9455,G_loss = 1.9887,train acc = 0.0883, test acc = 0.0947,best acc = 0.1051,lr = 0.00030000 
Iteration 51, D_loss = 0.9102,G_loss = 2.0185,train acc = 0.0929, test acc = 0.0960,best acc = 0.1051,lr = 0.00030000 
Iteration 52, D_loss = 0.8929,G_loss = 2.0719,train acc = 0.0876, test acc = 0.0806,best acc = 0.1051,lr = 0.00030000 
Iteration 53, D_loss = 0.9273,G_loss = 2.0745,train acc = 0.0858, test acc = 0.0896,best acc = 0.1051,lr = 0.00030000 
Iteration 54, D_loss = 0.9247,G_loss = 1.9690,train acc = 0.0927, test acc = 0.0945,best acc = 0.1051,lr = 0.00030000 
Iteration 55, D_loss = 0.9066,G_loss = 1.9933,train acc = 0.0951, test acc = 0.1000,best acc = 0.1051,lr = 0.00030000 
Iteration 56, D_loss = 0.9213,G_loss = 2.0699,train acc = 0.1009, test acc = 0.0810,best acc = 0.1051,lr = 0.00030000 
Iteration 57, D_loss = 0.9325,G_loss = 1.9468,train acc = 0.0888, test acc = 0.0898,best acc = 0.1051,lr = 0.00030000 
Iteration 58, D_loss = 0.9213,G_loss = 1.9975,train acc = 0.0949, test acc = 0.0902,best acc = 0.1051,lr = 0.00030000 
Iteration 59, D_loss = 0.9207,G_loss = 1.9800,train acc = 0.0952, test acc = 0.0862,best acc = 0.1051,lr = 0.00030000 
Iteration 60, D_loss = 0.9112,G_loss = 2.0345,train acc = 0.0909, test acc = 0.0968,best acc = 0.1051,lr = 0.00030000 
Iteration 61, D_loss = 0.9155,G_loss = 1.9317,train acc = 0.0881, test acc = 0.0870,best acc = 0.1051,lr = 0.00030000 
Iteration 62, D_loss = 0.9078,G_loss = 2.1300,train acc = 0.0858, test acc = 0.0920,best acc = 0.1051,lr = 0.00030000 
Iteration 63, D_loss = 0.9311,G_loss = 1.8719,train acc = 0.0908, test acc = 0.0966,best acc = 0.1051,lr = 0.00030000 
Iteration 64, D_loss = 0.9081,G_loss = 2.0630,train acc = 0.0932, test acc = 0.0765,best acc = 0.1051,lr = 0.00030000 
Iteration 65, D_loss = 0.9115,G_loss = 1.9669,train acc = 0.0851, test acc = 0.0853,best acc = 0.1051,lr = 0.00030000 
Iteration 66, D_loss = 0.9051,G_loss = 1.9952,train acc = 0.0900, test acc = 0.0788,best acc = 0.1051,lr = 0.00030000 
Iteration 67, D_loss = 0.9207,G_loss = 2.0157,train acc = 0.0933, test acc = 0.0849,best acc = 0.1051,lr = 0.00030000 
Iteration 68, D_loss = 0.9125,G_loss = 1.9879,train acc = 0.0806, test acc = 0.0830,best acc = 0.1051,lr = 0.00030000 
Iteration 69, D_loss = 0.9222,G_loss = 1.9537,train acc = 0.0811, test acc = 0.0854,best acc = 0.1051,lr = 0.00030000 
Iteration 70, D_loss = 0.9020,G_loss = 2.0038,train acc = 0.0819, test acc = 0.0892,best acc = 0.1051,lr = 0.00030000 
Iteration 71, D_loss = 0.9121,G_loss = 2.0510,train acc = 0.0880, test acc = 0.1001,best acc = 0.1051,lr = 0.00030000 
Iteration 72, D_loss = 0.8919,G_loss = 2.0059,train acc = 0.0910, test acc = 0.0896,best acc = 0.1051,lr = 0.00030000 
Iteration 73, D_loss = 0.9183,G_loss = 2.0129,train acc = 0.0917, test acc = 0.0891,best acc = 0.1051,lr = 0.00030000 
Iteration 74, D_loss = 0.9039,G_loss = 1.9852,train acc = 0.0949, test acc = 0.0900,best acc = 0.1051,lr = 0.00030000 
Iteration 75, D_loss = 0.8971,G_loss = 1.9208,train acc = 0.0877, test acc = 0.0953,best acc = 0.1051,lr = 0.00030000 
Iteration 76, D_loss = 0.8916,G_loss = 2.0817,train acc = 0.0880, test acc = 0.0802,best acc = 0.1051,lr = 0.00030000 
Iteration 77, D_loss = 0.8820,G_loss = 2.0706,train acc = 0.0912, test acc = 0.0861,best acc = 0.1051,lr = 0.00030000 
Iteration 78, D_loss = 0.9279,G_loss = 1.9387,train acc = 0.0927, test acc = 0.0813,best acc = 0.1051,lr = 0.00030000 
Iteration 79, D_loss = 0.8798,G_loss = 2.0173,train acc = 0.0913, test acc = 0.1040,best acc = 0.1051,lr = 0.00030000 
Iteration 80, D_loss = 0.8897,G_loss = 2.1237,train acc = 0.0906, test acc = 0.0886,best acc = 0.1051,lr = 0.00030000 
Iteration 81, D_loss = 0.8750,G_loss = 2.1035,train acc = 0.0896, test acc = 0.0796,best acc = 0.1051,lr = 0.00030000 
Iteration 82, D_loss = 0.8672,G_loss = 2.0765,train acc = 0.0923, test acc = 0.0896,best acc = 0.1051,lr = 0.00030000 
Iteration 83, D_loss = 0.8712,G_loss = 2.1283,train acc = 0.0886, test acc = 0.0729,best acc = 0.1051,lr = 0.00030000 
Iteration 84, D_loss = 0.8721,G_loss = 2.1012,train acc = 0.0751, test acc = 0.0772,best acc = 0.1051,lr = 0.00030000 
Iteration 85, D_loss = 0.8758,G_loss = 2.0278,train acc = 0.0850, test acc = 0.0803,best acc = 0.1051,lr = 0.00030000 
Iteration 86, D_loss = 0.8789,G_loss = 2.1098,train acc = 0.0896, test acc = 0.0858,best acc = 0.1051,lr = 0.00030000 
Iteration 87, D_loss = 0.8959,G_loss = 1.9376,train acc = 0.0842, test acc = 0.0798,best acc = 0.1051,lr = 0.00030000 
Iteration 88, D_loss = 0.8886,G_loss = 2.0621,train acc = 0.0758, test acc = 0.0756,best acc = 0.1051,lr = 0.00030000 
Iteration 89, D_loss = 0.8823,G_loss = 2.0478,train acc = 0.0775, test acc = 0.0779,best acc = 0.1051,lr = 0.00030000 
Iteration 90, D_loss = 0.8736,G_loss = 2.0996,train acc = 0.0808, test acc = 0.0815,best acc = 0.1051,lr = 0.00030000 
Iteration 91, D_loss = 0.8642,G_loss = 2.0791,train acc = 0.0905, test acc = 0.0825,best acc = 0.1051,lr = 0.00030000 
Iteration 92, D_loss = 0.8777,G_loss = 2.0477,train acc = 0.0894, test acc = 0.1057,best acc = 0.1057,lr = 0.00030000 
Iteration 93, D_loss = 0.8580,G_loss = 2.0465,train acc = 0.0881, test acc = 0.0942,best acc = 0.1057,lr = 0.00030000 
Iteration 94, D_loss = 0.8601,G_loss = 2.0630,train acc = 0.0915, test acc = 0.0914,best acc = 0.1057,lr = 0.00030000 
Iteration 95, D_loss = 0.8672,G_loss = 2.0787,train acc = 0.0973, test acc = 0.0926,best acc = 0.1057,lr = 0.00030000 
Iteration 96, D_loss = 0.8666,G_loss = 2.0769,train acc = 0.0936, test acc = 0.0947,best acc = 0.1057,lr = 0.00030000 
Iteration 97, D_loss = 0.8637,G_loss = 2.0572,train acc = 0.0916, test acc = 0.0932,best acc = 0.1057,lr = 0.00030000 
Iteration 98, D_loss = 0.8826,G_loss = 2.0090,train acc = 0.0940, test acc = 0.0910,best acc = 0.1057,lr = 0.00030000 
Iteration 99, D_loss = 0.8593,G_loss = 2.1155,train acc = 0.0978, test acc = 0.1059,best acc = 0.1059,lr = 0.00030000 
Iteration 100, D_loss = 0.8526,G_loss = 2.0850,train acc = 0.0888, test acc = 0.0874,best acc = 0.1059,lr = 0.00030000 
Iteration 101, D_loss = 0.8311,G_loss = 2.1933,train acc = 0.0860, test acc = 0.0807,best acc = 0.1059,lr = 0.00030000 
Iteration 102, D_loss = 0.8516,G_loss = 2.1552,train acc = 0.0984, test acc = 0.0945,best acc = 0.1059,lr = 0.00030000 
Iteration 103, D_loss = 0.8397,G_loss = 2.1318,train acc = 0.0884, test acc = 0.0890,best acc = 0.1059,lr = 0.00030000 
Iteration 104, D_loss = 0.8186,G_loss = 2.1606,train acc = 0.0884, test acc = 0.0857,best acc = 0.1059,lr = 0.00030000 
Iteration 105, D_loss = 0.8363,G_loss = 2.2591,train acc = 0.0928, test acc = 0.0921,best acc = 0.1059,lr = 0.00030000 
Iteration 106, D_loss = 0.8585,G_loss = 2.1123,train acc = 0.0926, test acc = 0.0973,best acc = 0.1059,lr = 0.00030000 
Iteration 107, D_loss = 0.8689,G_loss = 2.1084,train acc = 0.0827, test acc = 0.0945,best acc = 0.1059,lr = 0.00030000 
Iteration 108, D_loss = 0.8572,G_loss = 2.0458,train acc = 0.0960, test acc = 0.1030,best acc = 0.1059,lr = 0.00030000 
Iteration 109, D_loss = 0.8502,G_loss = 2.1339,train acc = 0.0955, test acc = 0.0846,best acc = 0.1059,lr = 0.00030000 
Iteration 110, D_loss = 0.8322,G_loss = 2.1299,train acc = 0.0874, test acc = 0.0867,best acc = 0.1059,lr = 0.00030000 
Iteration 111, D_loss = 0.8206,G_loss = 2.2064,train acc = 0.0797, test acc = 0.0917,best acc = 0.1059,lr = 0.00030000 
Iteration 112, D_loss = 0.8421,G_loss = 2.1362,train acc = 0.0816, test acc = 0.0668,best acc = 0.1059,lr = 0.00030000 
Iteration 113, D_loss = 0.8646,G_loss = 2.0681,train acc = 0.0803, test acc = 0.0717,best acc = 0.1059,lr = 0.00030000 
Iteration 114, D_loss = 0.8644,G_loss = 1.9859,train acc = 0.0844, test acc = 0.0749,best acc = 0.1059,lr = 0.00030000 
Iteration 115, D_loss = 0.8472,G_loss = 2.0937,train acc = 0.0769, test acc = 0.0816,best acc = 0.1059,lr = 0.00030000 
Iteration 116, D_loss = 0.8347,G_loss = 2.1601,train acc = 0.0860, test acc = 0.0684,best acc = 0.1059,lr = 0.00030000 
Iteration 117, D_loss = 0.8305,G_loss = 2.1127,train acc = 0.0761, test acc = 0.0698,best acc = 0.1059,lr = 0.00030000 
Iteration 118, D_loss = 0.8705,G_loss = 2.0916,train acc = 0.0818, test acc = 0.0766,best acc = 0.1059,lr = 0.00030000 
Iteration 119, D_loss = 0.8234,G_loss = 2.1212,train acc = 0.0763, test acc = 0.0720,best acc = 0.1059,lr = 0.00030000 
Iteration 120, D_loss = 0.8604,G_loss = 2.0696,train acc = 0.0751, test acc = 0.0695,best acc = 0.1059,lr = 0.00030000 
Iteration 121, D_loss = 0.8768,G_loss = 2.1125,train acc = 0.0759, test acc = 0.0841,best acc = 0.1059,lr = 0.00030000 
Iteration 122, D_loss = 0.8350,G_loss = 2.1501,train acc = 0.0796, test acc = 0.0757,best acc = 0.1059,lr = 0.00030000 
Iteration 123, D_loss = 0.8524,G_loss = 2.0835,train acc = 0.0756, test acc = 0.0770,best acc = 0.1059,lr = 0.00030000 
Iteration 124, D_loss = 0.8463,G_loss = 2.1820,train acc = 0.0777, test acc = 0.0714,best acc = 0.1059,lr = 0.00030000 
Iteration 125, D_loss = 0.8318,G_loss = 2.1317,train acc = 0.0784, test acc = 0.0775,best acc = 0.1059,lr = 0.00030000 
Iteration 126, D_loss = 0.8200,G_loss = 2.2342,train acc = 0.0735, test acc = 0.0861,best acc = 0.1059,lr = 0.00030000 
Iteration 127, D_loss = 0.8370,G_loss = 2.1488,train acc = 0.0737, test acc = 0.0636,best acc = 0.1059,lr = 0.00030000 
Iteration 128, D_loss = 0.8369,G_loss = 2.1485,train acc = 0.0695, test acc = 0.0719,best acc = 0.1059,lr = 0.00030000 
Iteration 129, D_loss = 0.8179,G_loss = 2.1803,train acc = 0.0773, test acc = 0.0723,best acc = 0.1059,lr = 0.00030000 
Iteration 130, D_loss = 0.8332,G_loss = 2.1804,train acc = 0.0774, test acc = 0.0774,best acc = 0.1059,lr = 0.00030000 
Iteration 131, D_loss = 0.8370,G_loss = 2.1803,train acc = 0.0770, test acc = 0.0704,best acc = 0.1059,lr = 0.00030000 
Iteration 132, D_loss = 0.8550,G_loss = 2.1282,train acc = 0.0711, test acc = 0.0795,best acc = 0.1059,lr = 0.00030000 
Iteration 133, D_loss = 0.8311,G_loss = 2.1470,train acc = 0.0721, test acc = 0.0729,best acc = 0.1059,lr = 0.00030000 
Iteration 134, D_loss = 0.8427,G_loss = 2.1619,train acc = 0.0749, test acc = 0.0693,best acc = 0.1059,lr = 0.00030000 
Iteration 135, D_loss = 0.8385,G_loss = 2.1614,train acc = 0.0769, test acc = 0.0729,best acc = 0.1059,lr = 0.00030000 
Iteration 136, D_loss = 0.8542,G_loss = 2.0176,train acc = 0.0720, test acc = 0.0884,best acc = 0.1059,lr = 0.00030000 
Iteration 137, D_loss = 0.8311,G_loss = 2.1186,train acc = 0.0834, test acc = 0.0837,best acc = 0.1059,lr = 0.00030000 
Iteration 138, D_loss = 0.8288,G_loss = 2.0982,train acc = 0.0887, test acc = 0.0824,best acc = 0.1059,lr = 0.00030000 
Iteration 139, D_loss = 0.8309,G_loss = 2.1060,train acc = 0.0787, test acc = 0.0750,best acc = 0.1059,lr = 0.00030000 
Iteration 140, D_loss = 0.8400,G_loss = 2.1624,train acc = 0.0766, test acc = 0.0792,best acc = 0.1059,lr = 0.00030000 
Iteration 141, D_loss = 0.8136,G_loss = 2.1954,train acc = 0.0769, test acc = 0.0783,best acc = 0.1059,lr = 0.00030000 
Iteration 142, D_loss = 0.8037,G_loss = 2.2523,train acc = 0.0777, test acc = 0.0760,best acc = 0.1059,lr = 0.00030000 
Iteration 143, D_loss = 0.8535,G_loss = 2.0967,train acc = 0.0825, test acc = 0.0797,best acc = 0.1059,lr = 0.00030000 
Iteration 144, D_loss = 0.8623,G_loss = 2.0611,train acc = 0.0785, test acc = 0.0748,best acc = 0.1059,lr = 0.00030000 
Iteration 145, D_loss = 0.8259,G_loss = 2.1624,train acc = 0.0737, test acc = 0.0694,best acc = 0.1059,lr = 0.00030000 
Iteration 146, D_loss = 0.8400,G_loss = 2.1407,train acc = 0.0798, test acc = 0.0785,best acc = 0.1059,lr = 0.00030000 
Iteration 147, D_loss = 0.8322,G_loss = 2.0809,train acc = 0.0825, test acc = 0.0655,best acc = 0.1059,lr = 0.00030000 
Iteration 148, D_loss = 0.8408,G_loss = 2.1415,train acc = 0.0767, test acc = 0.0829,best acc = 0.1059,lr = 0.00030000 
Iteration 149, D_loss = 0.8242,G_loss = 2.2173,train acc = 0.0778, test acc = 0.0820,best acc = 0.1059,lr = 0.00030000 
Iteration 150, D_loss = 0.8384,G_loss = 2.2083,train acc = 0.0760, test acc = 0.0793,best acc = 0.1059,lr = 0.00030000 
Iteration 151, D_loss = 0.8214,G_loss = 2.1561,train acc = 0.0779, test acc = 0.0701,best acc = 0.1059,lr = 0.00030000 
Iteration 152, D_loss = 0.8142,G_loss = 2.1567,train acc = 0.0802, test acc = 0.0864,best acc = 0.1059,lr = 0.00030000 
Iteration 153, D_loss = 0.7859,G_loss = 2.3183,train acc = 0.0845, test acc = 0.0742,best acc = 0.1059,lr = 0.00030000 
Iteration 154, D_loss = 0.7870,G_loss = 2.2952,train acc = 0.0848, test acc = 0.0717,best acc = 0.1059,lr = 0.00030000 
Iteration 155, D_loss = 0.8228,G_loss = 2.2220,train acc = 0.0805, test acc = 0.0837,best acc = 0.1059,lr = 0.00030000 
Iteration 156, D_loss = 0.8357,G_loss = 2.0944,train acc = 0.0911, test acc = 0.0884,best acc = 0.1059,lr = 0.00030000 
Iteration 157, D_loss = 0.8336,G_loss = 2.0886,train acc = 0.0892, test acc = 0.0686,best acc = 0.1059,lr = 0.00030000 
Iteration 158, D_loss = 0.8116,G_loss = 2.1860,train acc = 0.0882, test acc = 0.0923,best acc = 0.1059,lr = 0.00030000 
Iteration 159, D_loss = 0.8056,G_loss = 2.3033,train acc = 0.0848, test acc = 0.0816,best acc = 0.1059,lr = 0.00030000 
Iteration 160, D_loss = 0.7934,G_loss = 2.3173,train acc = 0.0929, test acc = 0.1004,best acc = 0.1059,lr = 0.00030000 
Iteration 161, D_loss = 0.7965,G_loss = 2.2507,train acc = 0.0966, test acc = 0.1070,best acc = 0.1070,lr = 0.00030000 
Iteration 162, D_loss = 0.8317,G_loss = 2.1808,train acc = 0.0903, test acc = 0.1033,best acc = 0.1070,lr = 0.00030000 
Iteration 163, D_loss = 0.7974,G_loss = 2.2459,train acc = 0.0894, test acc = 0.0864,best acc = 0.1070,lr = 0.00030000 
Iteration 164, D_loss = 0.8199,G_loss = 2.1308,train acc = 0.0875, test acc = 0.0816,best acc = 0.1070,lr = 0.00030000 
Iteration 165, D_loss = 0.8258,G_loss = 2.1986,train acc = 0.0894, test acc = 0.0977,best acc = 0.1070,lr = 0.00030000 
Iteration 166, D_loss = 0.8191,G_loss = 2.1493,train acc = 0.0984, test acc = 0.0826,best acc = 0.1070,lr = 0.00030000 
Iteration 167, D_loss = 0.8092,G_loss = 2.1344,train acc = 0.0838, test acc = 0.0896,best acc = 0.1070,lr = 0.00030000 
Iteration 168, D_loss = 0.8217,G_loss = 2.1865,train acc = 0.0859, test acc = 0.0849,best acc = 0.1070,lr = 0.00030000 
Iteration 169, D_loss = 0.7914,G_loss = 2.2017,train acc = 0.0853, test acc = 0.0854,best acc = 0.1070,lr = 0.00030000 
Iteration 170, D_loss = 0.8085,G_loss = 2.2683,train acc = 0.0818, test acc = 0.0790,best acc = 0.1070,lr = 0.00030000 
Iteration 171, D_loss = 0.8252,G_loss = 2.1975,train acc = 0.0825, test acc = 0.0723,best acc = 0.1070,lr = 0.00030000 
Iteration 172, D_loss = 0.7971,G_loss = 2.3145,train acc = 0.0813, test acc = 0.0773,best acc = 0.1070,lr = 0.00030000 
Iteration 173, D_loss = 0.8092,G_loss = 2.2562,train acc = 0.0832, test acc = 0.0788,best acc = 0.1070,lr = 0.00030000 
Iteration 174, D_loss = 0.8126,G_loss = 2.1755,train acc = 0.0798, test acc = 0.0777,best acc = 0.1070,lr = 0.00030000 
Iteration 175, D_loss = 0.8050,G_loss = 2.2084,train acc = 0.0871, test acc = 0.0810,best acc = 0.1070,lr = 0.00030000 
Iteration 176, D_loss = 0.7963,G_loss = 2.2792,train acc = 0.0845, test acc = 0.0781,best acc = 0.1070,lr = 0.00030000 
Iteration 177, D_loss = 0.7948,G_loss = 2.2528,train acc = 0.0784, test acc = 0.0706,best acc = 0.1070,lr = 0.00030000 
Iteration 178, D_loss = 0.8425,G_loss = 2.1994,train acc = 0.0794, test acc = 0.0924,best acc = 0.1070,lr = 0.00030000 
Iteration 179, D_loss = 0.8099,G_loss = 2.1415,train acc = 0.0913, test acc = 0.0901,best acc = 0.1070,lr = 0.00030000 
Iteration 180, D_loss = 0.8412,G_loss = 2.1138,train acc = 0.0873, test acc = 0.0867,best acc = 0.1070,lr = 0.00030000 
Iteration 181, D_loss = 0.8441,G_loss = 2.0617,train acc = 0.0849, test acc = 0.1099,best acc = 0.1099,lr = 0.00030000 
Iteration 182, D_loss = 0.8120,G_loss = 2.1224,train acc = 0.0842, test acc = 0.0775,best acc = 0.1099,lr = 0.00030000 
Iteration 183, D_loss = 0.8271,G_loss = 2.2287,train acc = 0.0922, test acc = 0.0925,best acc = 0.1099,lr = 0.00030000 
Iteration 184, D_loss = 0.8202,G_loss = 2.2619,train acc = 0.0911, test acc = 0.0913,best acc = 0.1099,lr = 0.00030000 
Iteration 185, D_loss = 0.7856,G_loss = 2.2562,train acc = 0.0939, test acc = 0.0973,best acc = 0.1099,lr = 0.00030000 
Iteration 186, D_loss = 0.8111,G_loss = 2.1876,train acc = 0.0799, test acc = 0.0826,best acc = 0.1099,lr = 0.00030000 
Iteration 187, D_loss = 0.8387,G_loss = 2.1998,train acc = 0.0821, test acc = 0.0862,best acc = 0.1099,lr = 0.00030000 
Iteration 188, D_loss = 0.8183,G_loss = 2.1111,train acc = 0.0902, test acc = 0.0847,best acc = 0.1099,lr = 0.00030000 
Iteration 189, D_loss = 0.8227,G_loss = 2.1769,train acc = 0.0867, test acc = 0.0866,best acc = 0.1099,lr = 0.00030000 
Iteration 190, D_loss = 0.7981,G_loss = 2.2324,train acc = 0.0858, test acc = 0.0802,best acc = 0.1099,lr = 0.00030000 
Iteration 191, D_loss = 0.8145,G_loss = 2.2866,train acc = 0.0775, test acc = 0.0916,best acc = 0.1099,lr = 0.00030000 
Iteration 192, D_loss = 0.8363,G_loss = 2.1354,train acc = 0.0786, test acc = 0.0801,best acc = 0.1099,lr = 0.00030000 
Iteration 193, D_loss = 0.8183,G_loss = 2.1378,train acc = 0.0836, test acc = 0.0893,best acc = 0.1099,lr = 0.00030000 
Iteration 194, D_loss = 0.8197,G_loss = 2.1881,train acc = 0.0739, test acc = 0.0706,best acc = 0.1099,lr = 0.00030000 
Iteration 195, D_loss = 0.8333,G_loss = 2.1036,train acc = 0.0727, test acc = 0.0738,best acc = 0.1099,lr = 0.00030000 
Iteration 196, D_loss = 0.8444,G_loss = 2.1285,train acc = 0.0709, test acc = 0.0666,best acc = 0.1099,lr = 0.00030000 
Iteration 197, D_loss = 0.8230,G_loss = 2.1567,train acc = 0.0696, test acc = 0.0710,best acc = 0.1099,lr = 0.00030000 
Iteration 198, D_loss = 0.8536,G_loss = 2.0297,train acc = 0.0755, test acc = 0.0641,best acc = 0.1099,lr = 0.00030000 
